title,genre,location
Zatoichi, Action, Chapel
Zatoichi: The Outlaw, Action, Chapel
Ran, Drama, Chapel
Throne of Blood, Drama, Chapel
Kagemusha: The Shadow Warrior, Drama, Chapel
The Street Fighter's Last Revenge, Action, Chapel
Seven Samurai, Action, Chapel
The Melancholy of Haruhi Suzumiya, Anime, Chapel
Haruhi-Chan Suzumiya, Anime, Chapel
Black Butler Collection, Anime, Chapel
GANTZ, Anime, Chapel
GANTZ PERFECT ANSWER, Anime, Chapel
CHANBARA Striptease, Anime, Chapel
BUNRAKU, Anime, Chapel
Princess Raccoon, Anime, Chapel
Black Butler Collection I, Anime, Chapel
Black Butler Collection II, Anime, Chapel
The Melancholy of Haruhi Suzumiya, Anime, Chapel
The Disappearance of Haruhi Suzumiya, Anime, Chapel
VERSUS, Action, Chapel
K20 The legend of the black mask, Action, Chapel
GEISHA ASSASSIN, Action, Chapel
BLOOD SIMPLE, Crime, Chapel
SAMURAI COMMAND: MISSION 549, Action, Chapel
DEVIL MAY CRY: THE COMPLETE SERIES, Action, Chapel
The Laughing Man, Anime, Chapel
Individual Eleven, Anime, Chapel
Death Notice (Ikigami), Anime, Chapel
LalaPipo, Anime, Chapel
Adrift in Tokyo, Anime, Chapel
Ghost in the Shell: Stand Alone Complex 2nd GIG Complete 2nd Gig Box Set, Anime, Chapel
Bloodrain, Anime, Chapel
Alfie, Drama, Chapel
Redline, Anime, Chapel
Paranoia Agent 4, Anime, Chapel
Paranoia Agent 3, Anime, Chapel
Paranoia Agent 2, Anime, Chapel
Paranoia Agent 1, Anime, Chapel

